counselytics	{'facebook_url': ' https://www.facebook.com/counselytics/'}
Court Listener	{'crunchbase_url': ' https://www.crunchbase.com/organization/courtlistener'}
CourtSide EDX	{'twitter_url': ' https://twitter.com/courtsideedx?lang=en'}
Credit Swarm	{'crunchbase_url': ' https://www.crunchbase.com/organization/credit-swarm', 'linkedin_url': ' https://ug.linkedin.com/company/credit-swarm'}
Crowdfunding Compliance Center	{'angellist_url': ' https://angel.co/company/crowdfunding-compliance-center'}
CrowdLaw	{'twitter_url': ' https://twitter.com/crowdlaw_?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/crowdlaw'}
CS Disco	{'facebook_url': ' https://www.facebook.com/csdisco/', 'linkedin_url': ' https://www.linkedin.com/company/cs-disco-llc'}
Dealcircle	{'facebook_url': ' https://www.facebook.com/DealCircle', 'crunchbase_url': ' https://www.crunchbase.com/organization/dealcircle', 'linkedin_url': ' https://www.linkedin.com/company/dealcircle-gmbh'}
DealSheet	{'twitter_url': ' https://twitter.com/dealsheet', 'facebook_url': ' https://www.facebook.com/DealSheetGenerator', 'crunchbase_url': ' https://www.crunchbase.com/organization/dealsheet'}
Dent	{'twitter_url': ' https://twitter.com/dentcoin', 'crunchbase_url': ' https://www.crunchbase.com/organization/dent', 'angellist_url': ' https://angel.co/company/dent', 'linkedin_url': ' https://www.linkedin.com/company/dent'}
Depot Services	{'crunchbase_url': ' https://www.crunchbase.com/organization/cloud-services-depot', 'angellist_url': ' https://angel.co/company/depot-services'}
GhostPractice	{'twitter_url': ' https://twitter.com/hashtag/ghostpractice', 'crunchbase_url': ' https://www.crunchbase.com/organization/ghostpractice'}
Contractlytics	{'crunchbase_url': ' https://www.crunchbase.com/organization/contractlytics'}
Counterfeit.Technology	{'crunchbase_url': ' https://www.crunchbase.com/organization/counterfeit-technology', 'angellist_url': ' https://angel.co/company/counterfeit-technology'}
Crypho	{'twitter_url': ' https://twitter.com/getcrypho?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/crypho', 'angellist_url': ' https://angel.co/company/crypho'}
Instadocket	{'crunchbase_url': ' https://www.crunchbase.com/organization/instadocket'}
LegalRisk.io	{'twitter_url': ' https://twitter.com/legalriskio', 'crunchbase_url': ' https://www.crunchbase.com/organization/legalrisk-io', 'angellist_url': ' https://angel.co/company/legalrisk-io'}
Derecho24	{'twitter_url': ' https://twitter.com/derecho24', 'crunchbase_url': ' https://www.crunchbase.com/organization/derecho24', 'angellist_url': ' https://angel.co/company/derecho24'}
DivorceMate Software	{'crunchbase_url': ' https://www.crunchbase.com/organization/divorcemate-software'}
doAgree	{'crunchbase_url': ' https://www.crunchbase.com/organization/doagree'}
Docasaurus	{'twitter_url': ' https://twitter.com/docasaurus', 'crunchbase_url': ' https://www.crunchbase.com/organization/docasaurus', 'angellist_url': ' https://angel.co/company/docasaurus'}
DocketHero	{'facebook_url': ' https://www.facebook.com/public/DocKet-HeRo', 'crunchbase_url': ' https://www.crunchbase.com/organization/dockethero'}
DocNav	{'twitter_url': ' https://twitter.com/docnavlab?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/docnav', 'angellist_url': ' https://angel.co/company/docnav', 'linkedin_url': ' https://in.linkedin.com/in/doc-nav-randhawa-2a239074'}
Document Technologies Inc	{'facebook_url': ' https://www.facebook.com/DocumentTechnologiesInc', 'linkedin_url': ' https://www.linkedin.com/company/document-technologies'}
DraftLaw	{'twitter_url': ' https://twitter.com/draftlaw', 'angellist_url': ' https://angel.co/company/draftlaw/jobs'}
E-Nact	{'crunchbase_url': ' https://www.crunchbase.com/organization/e-nact', 'angellist_url': ' https://angel.co/company/e-nact'}
EasyIntake	{'facebook_url': ' https://www.facebook.com/pages/Easy-Intake/107617237615006', 'crunchbase_url': ' https://www.crunchbase.com/organization/easyintake'}
EasyLaw.in	{'twitter_url': ' https://twitter.com/easylaw_india?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/easylaw-in', 'angellist_url': ' https://angel.co/company/easylaw-in', 'linkedin_url': ' https://www.linkedin.com/company/easylawmy'}
EchoSign	{'twitter_url': ' https://twitter.com/hashtag/echosign?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/echosign', 'angellist_url': ' https://angel.co/company/echosign', 'linkedin_url': ' https://www.linkedin.com/showcase/adobe-echosign'}
eDepoze	{'crunchbase_url': ' https://www.crunchbase.com/organization/edepoze'}
